	target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
8663	ENSRNOG00000005539	2.47975948523985	0.115319886276455	0.188108659006416	1.25203601385318	0.235053028332048	0.0153541744385892	4.46405138219527	0.250407202770637	0.235053028332048	0.0466811689251209	0.235053028332048	1
8664	ENSRNOG00000012397	2.47826053017686	0.115429849985248	0.188266298492791	0.0364405885536999	0.00377495594356732	0.00351316176717266	5.61903698913475	0.00728811771073997	0.00377495594356732	0.0257435830314784	0.0257435830314784	1
8665	ENSRNOG00000001353	2.47732613720636	0.115498455829222	0.188356454624666	0.0979766981558657	0.0116539386545476	0.0079414009766255	4.89920086506435	0.0195953396311731	0.0116539386545476	0.0359801977094934	0.0359801977094934	1
8666	ENSRNOG00000007271	2.4762640470955	0.115576492221427	0.18846196764147	0.0841443364379319	0.001597854563941	0.0152310127236454	4.30123643799252	0.0168288672875863	0.001597854563941	0.0519352135173553	0.0519352135173553	1
8667	ENSRNOG00000061012	2.47450919110154	0.115705556686911	0.18865065438361	0.0366371574511459	0.00159435182068343	0.00573307966954575	5.17101293078456	0.00732743149022917	0.00159435182068343	0.0310773298141393	0.0310773298141393	1
8668	ENSRNOG00000014785	2.47412084686231	0.115734139749433	0.188675487863318	0.0367656739671107	0.00392576101872491	0.00342737377469723	5.65986187356991	0.0073531347934222	0.00392576101872491	0.0253927625183245	0.0253927625183245	1
8669	ENSRNOG00000019935	2.47376035915694	0.115760679480283	0.188695610805122	0.0364264004917792	0.00395109737714473	0.00333418272121111	5.73757771487128	0.00728528009835614	0.00395109737714473	0.0248196220656948	0.0248196220656948	1
8670	ENSRNOG00000020713	2.4735904632156	0.115773189843635	0.188695610805122	0.315256079875511	0.0268686193071613	0.0361825966679409	3.48453982806822	0.0630512159751022	0.0268686193071613	0.0837653825229664	0.0837653825229664	1
8671	ENSRNOG00000022870	2.47317932008049	0.115803470727945	0.188716412294304	0.0603463825879272	0.007486968742698	0.00458230777488744	5.30044579801667	0.0120692765175856	0.007486968742698	0.0292712613058711	0.0292712613058711	1
8672	ENSRNOG00000034078	2.47305454705079	0.115812662049127	0.188716412294304	0.0808295777957104	0.0125726900996808	0.00359322545946129	5.77550996439754	0.0161659155591418	0.0125726900996808	0.0245898534545968	0.0245898534545968	1
8673	ENSRNOG00000012528	2.47270202546611	0.115838634666238	0.18873697065244	0.0935330039562218	0.00870164956422854	0.0100049512270158	4.70941143044289	0.0187066007912443	0.00870164956422854	0.0400478728551662	0.0400478728551662	1
8674	ENSRNOG00000017531	2.47200831055632	0.115889764050928	0.18877113214865	2.14192522734317	0.416652224103186	0.0117328213654482	4.56186100837988	0.428385045468634	0.416652224103186	0.0438297912075182	0.416652224103186	1
8675	ENSRNOG00000022141	2.47190806249353	0.1158971547683	0.18877113214865	0.0342276375256762	-0.00150960339602766	0.00835513090116289	5.08285111188356	0.00684552750513521	0	0.0325188661313959	0.0325188661313959	1
8676	ENSRNOG00000042576	2.47187384587079	0.115899677483666	0.18877113214865	0.134397823151176	0.0130028711690123	0.0138766934612229	4.1637573941412	0.0268795646302352	0.0130028711690123	0.0567311670322434	0.0567311670322434	1
8677	ENSRNOG00000060005	2.471624001331	0.11591809980245	0.188779378622614	0.323429076472379	0.0644669604058598	0.000218854888616104	8.37601035919628	0.064685815294476	0.0644669604058598	0.0444928454921197	0.0644669604058598	1
8678	ENSRNOG00000016576	2.47054567464312	0.115997647451503	0.188887157886285	0.195949715905973	0.0155809599639978	0.0236089832171968	3.70666585527083	0.0391899431811945	0.0155809599639978	0.0739262594672283	0.0739262594672283	1
